name,padrillo,M,Dam_Mean_T3_BSN,Best_Foal_Bsn,mother,Momsiblings,uncles,M_age_at_birth,MomSib_Sibs_raced_at2y,MomSib_wnrs_STK_at2y,birth_eday,MomSib_wnrs3yo_at2y,sex,FathSibSTKWnrsPerOffs,FathSibSTKWnrShL4Gens,PS,PR,PRS,date,title,source,eday,auctionYear,auctionOrder,haras1,ageAtAuction,valueUSDB,pricePerBp,Sire_PS,f_STK_races_total_races,raced_won_g1_yn,cei_per_offs
JOY TESALINA,FORTIFY (USA),THUNDERY TERRIFIC,115.33238,103.2599,.27597713,-.076497905,.015563115,6.8767123,0,0,15aug2016,0,1,.05319149,.083333336,,,,"17 aug, 2018",Resumen  Liquidacion Total La Biznaga Productos 2016  Lote 2,https://www.turfdiario.com/resumen-liquidacion-total-la-biznaga-productos-2016-lote-2/,17aug2018,2018,82,,2.0054793,31155.779,3544.5073,.8986541,.28455284,y-y-n,
BERMEJO JOY,FORTIFY (USA),SOUTH BERK,112.72671,115.40541,.41520497,-.076497905,.095852822,7.0027399,1,0,13aug2016,0,2,.055555556,.083333336,,,,"17 aug, 2018",Resumen  Liquidacion Total La Biznaga Productos 2016  Lote 2,https://www.turfdiario.com/resumen-liquidacion-total-la-biznaga-productos-2016-lote-2/,17aug2018,2018,61,,2.0109589,45226.129,2368.0249,.91366529,.27868852,y-y-n,
GREY JOY,FORTIFY (USA),STORMY GRETA,,118.80733,-.19126993,.23757663,.03510806,13.868493,6,0,13aug2016,0,2,.055555556,.083333336,,,,"17 aug, 2018",Resumen  Liquidacion Total La Biznaga Productos 2016  Lote 2,https://www.turfdiario.com/resumen-liquidacion-total-la-biznaga-productos-2016-lote-2/,17aug2018,2018,100,,2.0109589,9045.2256,604.11646,.91366529,.27868852,n-n-n,3.2743876
JOY DOCTRINA,FORTIFY (USA),SOUTH DOROTEA,98.346893,109.47737,.11395147,.27886766,.096489936,9.8602743,1,0,28jul2016,0,1,.049382716,.06666667,,,,"17 aug, 2018",Resumen  Liquidacion Total La Biznaga Productos 2016  Lote 2,https://www.turfdiario.com/resumen-liquidacion-total-la-biznaga-productos-2016-lote-2/,17aug2018,2018,73,,2.0547945,15075.377,1148.0223,.83514535,.26605505,y-n-n,2.5928431
BARBOUR GIRL,EXCHANGE RATE (USA),BARBIE GIRL,90.110085,99.168808,.10445228,-.076497905,.029045522,6.871233,1,0,01aug2016,0,1,.061085973,.05859375,,,,"22 aug, 2018",Resumen Gran Venta Fallow Pollas,https://www.turfdiario.com/resumen-gran-venta-fallow-pollas-2/,22aug2018,2018,3,Abolengo,2.0575342,36482.082,16130.586,.33748505,.094755664,y-n-n,.023925234
DECLARADA INOCENTE,TREASURE BEACH (GB),DECLARATORIA,93.602058,109.77261,.079359919,-.076497905,.036745965,6.9589043,1,0,05aug2016,0,1,0,0,,,,"22 aug, 2018",Resumen Gran Venta Fallow Pollas,https://www.turfdiario.com/resumen-gran-venta-fallow-pollas-2/,22aug2018,2018,11,Abolengo,2.0465753,3908.7947,1535.449,.21531005,.12820514,n-n-n,
IMPALA GIRL,ASIATIC BOY,IMPERIAL GIRL,103.30796,101.67599,-.22627687,.16276845,.025078192,16.816439,5,0,07aug2016,2,1,.01058201,.0098360656,,,,"13 sep, 2018",Resumen Gran Venta Fallow Septiembre,https://www.turfdiario.com/resumen-gran-venta-fallow-septiembre/,13sep2018,2018,12,Abolengo,2.1013699,10389.61,5472.8062,.11131954,.033850495,y-n-n,1.8405205
BOUDICEA,EQUAL STRIPES,BOUDICA,81.538361,109.58714,.12840986,-.076497905,.048144862,8.0438356,1,0,08aug2016,0,1,.041618496,.038251366,,,,"22 aug, 2018",Resumen Gran Venta Fallow Pollas,https://www.turfdiario.com/resumen-gran-venta-fallow-pollas-2/,22aug2018,2018,2,Abolengo,2.0383561,23452.768,10016.97,.30019143,.080362089,n-n-n,0
SARAFINA STRIPES,EQUAL STRIPES,NAVRATNA (FR),,69.686943,.29339054,-.076497905,-.092068762,8.4739723,1,0,17jul2016,0,1,.040935673,.035519127,,,,"22 aug, 2018",Resumen Gran Venta Fallow Pollas,https://www.turfdiario.com/resumen-gran-venta-fallow-pollas-2/,22aug2018,2018,29,E. La Josefina,2.0986302,5211.7261,2251.1448,.30647758,.080864541,n-n-n,0
LA REMOTA,REMOTE (GB),LA VISITACION,99.613922,113.19556,.29142427,-.076497905,.052475438,7.0027399,0,0,16jul2016,0,1,0,0,,,,"31 jul, 2018",Resumen Venta Invierno Haras Vacacion,https://www.turfdiario.com/resumen-venta-invierno-haras-vacacion/,31jul2018,2018,35,Vacacion,2.041096,9564.2939,2290.8574,.13513809,,y-n-n,
