lote,name,birth_year,haras,studbook_id,padrillo,M,birth_eday,sex,PR,PS,PRS,Remate,Start,End,Source,link,age,yegua
35,INSTAGRAMADA,2020.0,LA PASION,420615,BODEMEISTER (USA),ILLEGALLY BLONDE,2020-08-15,Female,0.6934185,0.31726438,0.21999699,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,4,False
27,INTELIGENCIA SUPREMA,2023.0,VACACION,446557,FORTIFY (USA),IGARA,2023-10-14,Female,0.59116656,0.27993584,0.16548871,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
31,INTERNAL AFFAIRS,2023.0,VACACION,442095,FORTIFY (USA),IDOCRASE,2023-07-31,Male,0.70794439,0.26970816,0.19093838,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
50,INVISIBLE SCAPE,2023.0,VACACION,442094,CITYSCAPE (GB),INVISIBLE WAR,2023-07-01,Female,0.49837747,0.19381672,0.096593887,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
15,IRISH BOY,2023.0,VACACION,441743,FORTIFY (USA),ISLANDINA,2023-07-11,Male,0.70921534,0.26563856,0.18839495,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
8,IT'S LIKE YOU,2023.0,ABOLENGO,445117,COSMIC TRIGGER,IT LOOKS FINE,2023-10-07,Male,0.574054,0.17068322,0.097981386,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
36,IVANNE,2021.0,LA PASION,426840,MANIPULATOR (USA),ILUSION OPTICA,2021-07-22,Female,0.7465077,0.1719567,0.12836701,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,3,False
23,JESSIE JAY,2023.0,SANTA MARIA DE ARARAS,444239,DANIEL BOONE (BRZ),JOLIE JOAN,2023-09-11,Female,0.61228377,0.21471784,0.13146825,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
1,JOY MUSICA,2023.0,EL ARROYO,441793,FORTIFY (USA),MELODIAN GIRL,2023-08-01,Female,0.54165184,0.22783163,0.12340543,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
46,JUARA,2023.0,EL MALLIN,445494,STORM EMBRUJADO,MENTAWAI,2023-09-05,Female,0.5565564,0.092186838,0.051307175,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
32,JUST DANCE,2023.0,SANTA MARIA DE ARARAS,443377,DANIEL BOONE (BRZ),JOLIE GIGI,2023-08-23,Female,0.42652813,0.14787169,0.063071437,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
