name,padrillo,yegua,genre,criador,auctionOrder,year,value,valueUSDB,p1,p2,p1_p2,eday,birth_eday
BEST OF THE BEST,EQUAL STRIPES,BOUDICA,Hembra,Abolengo,52,2023,53000,27831.2,0.5809193,0.06010883,0.03491838,2023-03-28,2021-07-26
NIEBLA PELIGROSA,DADDY LONG LEGS (USA),NIEVES INC,Hembra,Los Turfistas,23,2023,58000,27770.78,0.5051016,0.021926835,0.01107528,2023-05-21,2021-08-18
WHO IS CRAF,MASTERCRAFTSMAN (IRE),GUESS WHO,Hembra,Firmamento,36,2019,30000,27765.867,0.62493813,0.079730466,0.049826607,2019-09-24,2017-10-14
TRAMONTANA CRAF,MASTERCRAFTSMAN (IRE),MISS TRAMONTANA,Hembra,Firmamento,32,2019,30000,27765.867,0.68181527,0.06082486,0.041471317,2019-09-24,2017-09-17
MOON CLOUD,ORPEN (USA),MOONISH,Hembra,Carampangue,17,2018,1070000,27705.854,0.54240876,0.056617957,0.030710075,2018-09-20,2016-10-10
ADMITIDO,ORPEN (USA),A DAY IN LIFE,Macho,Carampangue,5,2022,50000,27675.75,0.7063374,0.08825394,0.062337056,2022-06-26,2020-07-21
ROSALERO JOY,FORTIFY (USA),ROSA INCLUIDA (USA),Macho,El Arroyo,54,2021,45000,27618.39,0.6202841,0.07182207,0.044550087,2021-05-20,2019-07-06
MASTER CELEBRE,MASTERCRAFTSMAN (IRE),SPLENDID CELEBRE,Macho,NN Criador,96,2019,28000,27603.078,0.7123007,0.12888172,0.091802545,2019-06-04,2017-09-06
FUTURE GIRL,DANIEL BOONE (BRZ),FUZARCA,Hembra,Santa Maria De Araras,34,2023,52000,27573.17,0.6991457,0.12803733,0.08951675,2023-04-02,2021-08-08
SUPER MIND,SUPER SAVER (USA),NEVERMIND INC,Macho,Firmamento,5,2021,51000,27520.025,0.73180217,0.046921052,0.03433693,2021-10-13,2019-10-16
EMPATE JAMAS,COSMIC TRIGGER,EMPIRIC RULES,Hembra,Abolengo,30,2022,50000,27519.914,0.6320007,0.056324825,0.035597328,2022-03-27,2020-10-12
COOL ASPEN,EQUAL STRIPES,CECIL ASPEN,Macho,Abolengo,32,2022,50000,27519.914,0.63582516,0.06278418,0.03991976,2022-03-27,2020-07-19
GUNDA,FORTIFY (USA),GINGER IN THE RYE,Hembra,Vacacion,29,2022,50000,27519.914,0.7002462,0.12617686,0.08835487,2022-03-27,2020-07-04
TIME TO REMEMBER,ROMAN RULER (USA),TACANUYA,Hembra,Vacacion,13,2019,28000,27482.566,0.5698986,0.086068675,0.049050417,2019-07-03,2017-08-31
