name,padrillo,yegua,genre,criador,auctionOrder,year,value,valueUSDB,p1,p2,p1_p2,eday,birth_eday
DIA MAGICO,HI HAPPY,DEAR QUEEN,Macho,Vacacion,83,2022,30000,16511.95,0.682356,0.060166135,0.041054722,2022-03-27,2020-07-29
FRACK SAND,LEGION DE HONOR,MARY'S TRUST,Macho,Abolengo,20,2022,3360000,16511.057,0.5381425,0.03466211,0.018653154,2022-06-06,2020-08-31
SETEVEZESSETE,CITYSCAPE (GB),SEA BRAVA,Macho,La Providencia,15,2024,19000,16509.709,0.727502,0.06545575,0.047619186,2024-05-06,2022-10-05
HI ULTRA,HI HAPPY,ULTIMATE HEIGHTS (BRZ),Macho,La Providencia,5,2024,19000,16509.709,0.7491634,0.05195803,0.03892505,2024-05-06,2022-10-16
DON MILANGA,JOHN F KENNEDY (IRE),MILONGA QUERIDA,Macho,San Benito,1,2020,29100,16497.812,0.6513352,0.036185343,0.023568787,2020-08-05,2018-10-03
ALBURQUERQUE,ORPEN (USA),AGATHA CHRISTIE,Macho,Carampangue,17,2023,32000,16496.426,0.644681,0.038346317,0.02472114,2023-06-27,2021-11-13
BRAVO BRUNO,COSMIC TRIGGER,BARCELONA GIRL,Macho,Abolengo,19,2024,25000,16494.662,0.5149452,0.04541665,0.023387086,2024-07-07,2022-09-25
MARIDAJE,SIXTIES SONG,MERCY ME,Macho,El Turf,5,2023,31000,16473.217,0.6776881,0.10897144,0.07384865,2023-07-06,2021-07-30
I'M PROUD,COSMIC TRIGGER,I'M PRECIOUS,Macho,Abolengo,11,2023,34000,16460.137,0.5727784,0.031073824,0.017798414,2023-05-14,2021-10-15
I'M DAD,DADDY LONG LEGS (USA),I'M SURE,Macho,Abolengo,17,2023,34000,16460.137,0.5562244,0.08389168,0.046662603,2023-05-14,2021-09-11
EL TINTO,SUPER SAVER (USA),LA TINTORETTA,Macho,Firmamento,10,2021,30500,16458.055,0.76997685,0.06757645,0.052032303,2021-10-13,2019-10-25
SONRIENDO,NASHVILLE TEXAN,MI SONRISA,Macho,Masama,10,2023,6550000,16457.287,0.72741556,0.02811921,0.02045435,2023-04-16,2021-07-30
ANDA CONMIGO,ANGIOLO,SERPENTINE LANE,Macho,El Paraiso,46,2021,26500,16455.969,0.7393611,0.092393704,0.06831231,2021-04-24,2019-08-08
FORTY FAIN,FORTIFY (USA),ATLANTIC FINE,Macho,Firmamento,1,2022,31000,16452.283,0.86765164,0.29943165,0.25980237,2022-10-05,2020-07-14
BLUMENAU,ENDORSEMENT (USA),STAR BLOOM,Macho,La Quebrada,13,2023,34000,16448.871,0.7264516,0.06357865,0.046186812,2023-05-05,2021-09-09
FOTO FLASH,GRAND REWARD (USA),FLASH KEY,Macho,La Quebrada,10,2023,34000,16448.871,0.8279766,0.03709639,0.03071494,2023-05-05,2021-08-29
DUERO CAT,HURRICANE CAT (USA),FROST FLOWER,Macho,La Madrina,16,2024,18000,16441.238,0.6453516,0.025716735,0.016596336,2024-04-08,2022-07-22
LIMA LEGS,DADDY LONG LEGS (USA),CANDY BEACH,Hembra,La Madrina,9,2024,18000,16441.238,0.37227893,0.019474052,0.007249779,2024-04-08,2022-09-20
STAND BY LOVE,FORTIFY (USA),STANDING OVATION,Hembra,Santa Ines,22,2021,27000,16440.5,0.67612326,0.05812921,0.03930251,2021-05-19,2019-07-26
FAMILY COURT,JAPAN (USA),FELICIDAD IS BACK,Hembra,Santa Maria De Araras,18,2023,31000,16437.852,0.57587045,0.050862964,0.029290479,2023-04-02,2021-09-07
QUE JUDOKA,JAPAN (USA),QUE BELLA NOCHE,Macho,Santa Maria De Araras,32,2023,31000,16437.852,0.5462519,0.07107958,0.038827356,2023-04-02,2021-10-05
ADORADA DELIA,DANIEL BOONE (BRZ),SAFIRA AZUL,Hembra,Santa Maria De Araras,5,2021,25000,16417.277,0.5047004,0.056558568,0.028545134,2021-04-12,2019-10-05
FUERA DIABLO,TOUAREG,FIJIAN GIRL,Macho,Don Florentino,7,2023,8000000,16410.256,0.36266258,0.013660777,0.004954253,2023-05-22,2021-07-04
DOMANI,SEÑOR CANDY (USA),DOMESTICATED (USA),Hembra,San Lorenzo De Areco,29,2024,18500,16409.5,0.76946115,0.02673836,0.02057413,2024-04-22,2022-08-21
SPEEDTEST,CITYSCAPE (GB),SPINACH,Macho,Carampangue,9,2024,24000,16391.111,0.7255565,0.09183378,0.066630594,2024-06-30,2022-08-01
SEÑORA ELEGANTE,SEÑOR CANDY (USA),SEÑORA ENSALZADA,Hembra,Carampangue,12,2024,24000,16391.111,0.59426093,0.05553978,0.033005122,2024-06-30,2022-10-31
EIGUALAME,SEAHENGE (USA),EMBRACE HER,Macho,Rodeo Chico,6,2022,29500,16385.736,0.55092275,0.059293717,0.03266626,2022-03-30,2020-08-12
EL COMPA,HI HAPPY,LA CONTRERA,Macho,Santa Ines,30,2023,34000,16371.608,0.8092436,0.08594045,0.06954676,2023-05-03,2021-08-25
QUINCY RAIN,FORTIFY (USA),QUEEN OF RAIN,Macho,Santa Ines,20,2023,34000,16371.608,0.83595026,0.09876546,0.08256301,2023-05-03,2021-07-23
SOUTH ROCK,DANIEL BOONE (BRZ),SUBLIME AMOUR,Macho,Santa Maria De Araras,15,2024,17500,16345.36,0.5785453,0.07107461,0.04111988,2024-04-07,2022-10-04
FURIA CIEGA,EASING ALONG (USA),FASHION MODEL (GB),Hembra,La Pasion,49,2019,750000,16339.869,0.6491906,0.089902416,0.058363803,2019-05-16,2017-07-25
DON SUJETO,SUGGESTIVE BOY,DONNA DELIA,Macho,Carampangue,62,2019,750000,16339.869,0.74754995,0.09260497,0.069226846,2019-05-16,2017-10-26
MUY HONESTO,NASHVILLE TEXAN,MUCHA HONRA,Macho,Masama,14,2023,6500000,16331.658,0.699143,0.024542622,0.017158803,2023-04-16,2021-09-24
INFIEL LIZA,LIZARD ISLAND (USA),ITALIA BONITA,Hembra,Abolengo,87,2021,25000,16312.148,0.64934796,0.03824357,0.024833383,2021-03-29,2019-07-13
BELLA OSCURIDAD,IN THE DARK,BEATRICHE,Hembra,Vacacion,72,2021,25000,16312.148,0.6328445,0.046941694,0.029706793,2021-03-29,2019-08-05
DARK MELODY,IN THE DARK,BEAUTY SINGER,Hembra,Vacacion,82,2021,25000,16312.148,0.6843046,0.04734758,0.032400165,2021-03-29,2019-07-27
MADRE TERESA,PUERTO ESCONDIDO,DAUGHTEROFCHARITY (USA),Hembra,El Mallin,46,2022,28000,16306.639,0.68715084,0.05949158,0.04087969,2022-05-10,2020-07-25
EL COBRA KAI,COSMIC TRIGGER,OLD DEAR,Macho,Juan Antonio,11,2022,28000,16306.639,0.6179715,0.013534961,0.00836422,2022-05-10,2020-10-12
ARTHURUS,REMOTE (GB),AVALONIA,Macho,Embrujo,41,2022,28000,16306.639,0.6088276,0.03956273,0.024086881,2022-05-10,2020-10-29
SOBRA FE,SEBI HALO,BIEN BAHIARA,Hembra,El Paraiso,43,2019,736000,16301.218,0.72367764,0.03514326,0.025432391,2019-05-05,2017-09-10
NURULLAH,TREASURE BEACH (GB),NUMERATA,Hembra,La Providencia,10,2022,28000,16276.74,0.7396331,0.035620824,0.026346339,2022-05-15,2020-09-30
LAST CHANCE,HURRICANE CAT (USA),LA MALCRIADA,Macho,Vacacion,47,2024,19000,16276.3545,0.6298316,0.062585816,0.039418526,2024-03-21,2022-07-10
LIGHTNING BOLT,LE BLUES,AMIGA DEL VIENTO,Macho,El Paraiso,3,2023,6200000,16272.966,0.70813006,0.10787407,0.07638887,2023-03-19,2021-08-30
SHARIM,DADDY LONG LEGS (USA),SABHA (AUS),Macho,Abolengo,44,2024,19000,16266.996,0.5771116,0.06861789,0.03960018,2024-03-20,2022-08-03
BLACK BABE,TREASURE BEACH (GB),BLACK SILKS,Hembra,Abolengo,46,2024,19000,16266.996,0.6755727,0.04064137,0.0274562,2024-03-20,2022-07-15
GIVE IT ALL,COSMIC TRIGGER,GIVE ME FRISCO,Hembra,Abolengo,50,2024,19000,16266.996,0.6070454,0.026803726,0.016271079,2024-03-20,2022-07-08
LE BANG,LE BLUES,ASWANG,Macho,El Paraiso,60,2023,33000,16244.651,0.7791473,0.05828901,0.045415726,2023-04-23,2021-11-08
SARAWAK BOMB,HIT IT A BOMB (USA),SARAWAK TOP,Macho,Firmamento,26,2022,28000,16244.396,0.7902775,0.057809126,0.04568525,2022-05-05,2020-09-05
ELITE RIMOUT,REMOTE (GB),MISS ETTE,Macho,Firmamento,13,2022,28000,16244.396,0.76829594,0.10936087,0.084021516,2022-05-05,2020-09-26
ES PRESUMIDA,IL CAMPIONE (CHI),RUBY SUE,Hembra,El Paraiso,35,2024,19000,16241.346,0.7599916,0.074597284,0.056693308,2024-04-28,2022-07-14
ENVIDIADA,IL CAMPIONE (CHI),SPORE,Hembra,El Paraiso,33,2024,19000,16241.346,0.64813256,0.060787767,0.039398532,2024-04-28,2022-07-18
TWIST AND GO,ORPEN (USA),TWIST NIGHT,Macho,Santa Ines,59,2022,28000,16230.607,0.6603397,0.043542363,0.028752752,2022-05-12,2020-09-22
VIKINGO JOY,FORTIFY (USA),SALLY VIKING,Macho,La Nora,30,2021,27000,16226.412,0.881769,0.05200495,0.045856353,2021-06-15,2019-08-23
CERO CERO SIETE,SEÑOR CANDY (USA),CRYSTAL IN ASPEN,Macho,La Leyenda,26,2023,30000,16224.927,0.779092,0.07547889,0.058805,2023-04-11,2021-10-07
JAZMINERO AZUL,LUCULLAN (USA),JOY ANGUS,Macho,La Leyenda,3,2023,30000,16224.927,0.6198901,0.099062905,0.061408114,2023-04-11,2021-11-16
ESTEPA EN FLOR,IL CAMPIONE (CHI),ALTA FLORESTA,Hembra,El Paraiso,38,2022,28000,16222.54,0.77969,0.0967428,0.075429395,2022-05-01,2020-09-15
LE PREMOL,LE BLUES,ADELINE MISCOU,Macho,El Paraiso,52,2022,28000,16222.54,0.6892155,0.10363315,0.07142557,2022-05-01,2020-10-27
NADIL,IL MERCATO,NICARAGUA (USA),Hembra,La Pasion,34,2023,34000,16214.815,0.6846281,0.044866633,0.03071696,2023-04-27,2021-07-22
LA IMPUTADA,BODEMEISTER (USA),LA IMPARABLE,Hembra,La Pasion,41,2022,28000,16209.636,0.6915085,0.028054047,0.019399611,2022-04-29,2020-08-08
LAZARINO,REMOTE (GB),LIBANESA,Macho,Vacacion,41,2019,16500,16195.084,0.7102085,0.04644458,0.032985333,2019-07-03,2017-10-17
LA NACIENTE,SEAHENGE (USA),NATIVE BEAUTY,Hembra,Tradicion,15,2024,20000000,16194.332,0.5019232,0.02087163,0.010475955,2024-09-24,2022-08-23
QUIT IT A BOMB,HIT IT A BOMB (USA),MUEQUITA NISTEL,Hembra,Firmamento,29,2021,30000,16188.251,0.7460967,0.07082328,0.052841015,2021-10-13,2019-08-18
SUPER SHARON,SUPER SAVER (USA),MISS CARILINDA,Hembra,Firmamento,33,2021,30000,16188.251,0.65229005,0.08224194,0.053645596,2021-10-13,2019-10-15
SEITER KEY,KEY DEPUTY (USA),MISS SEITER,Macho,Firmamento,25,2019,700000,16184.971,0.82507855,0.16439399,0.13563795,2019-04-05,2017-11-05
KEY SEITER,KEY DEPUTY (USA),SEITER NISTEL,Macho,Firmamento,7,2019,700000,16184.971,0.880003,0.23425414,0.20614433,2019-04-05,2017-07-28
SELECTION KEY,KEY DEPUTY (USA),MISS SELECTION,Macho,Firmamento,16,2019,700000,16184.971,0.72871864,0.10293672,0.07501191,2019-04-05,2017-10-15
CARO KEY,KEY DEPUTY (USA),CARISIMA EMPER,Macho,Firmamento,10,2019,700000,16184.971,0.861167,0.20138831,0.17342897,2019-04-05,2017-08-11
ESTE GATILLO,COSMIC TRIGGER,ESTHETICALLY,Macho,Abolengo,37,2019,16500,16168.906,0.584031,0.05146223,0.030055536,2019-04-30,2017-08-17
HERMANO DEL ALMA,MANIPULATOR (USA),COMO MI HERMANA (USA),Macho,Cortines,1,2023,30000,16149.543,0.7897188,0.04420868,0.034912426,2023-04-13,2021-08-16
EL EMINENTE,IL CAMPIONE (CHI),BAGSHAWE,Macho,El Paraiso,16,2021,26000,16145.479,0.75742465,0.15502027,0.11741617,2021-04-24,2019-09-21
CANTAME LA JUSTA,QUE VIDA BUENA,DIGA,Hembra,Tradicion,7,2022,4600000,16140.351,0.511115,0.013468564,0.006883985,2022-09-20,2020-10-12
DOREK JOY,FORTIFY (USA),SOUTH DORM,Macho,La Biznaga,72,2018,480000,16080.401,0.8382696,0.14725661,0.12344074,2018-08-17,2016-09-12
SOVIET AGAIN,SEEK AGAIN (USA),SOVIET FILLY,Macho,Carampangue,15,2019,17000,16076.572,0.6218051,0.09846217,0.061224278,2019-08-28,2017-08-03
NOCHERO BOY,SUGGESTIVE BOY,NOCHE DE ESTRELLAS,Macho,Carampangue,13,2022,29000,16051.936,0.7578638,0.073633045,0.05580382,2022-06-26,2020-09-29
EL CIRCO AZUL,IL CAMPIONE (CHI),LA ADORACION,Macho,Tres Jotas,3,2021,30000,16050.113,0.69883054,0.058425494,0.04082952,2021-10-19,2019-11-01
CATEDRATICO TOP,CITYSCAPE (GB),MISS TOP ONE,Macho,La Catedral,8,2020,2680000,16047.904,0.8264997,0.04631591,0.038280085,2020-10-30,2018-09-04
GABRI,ANGIOLO,MAGRITTE,Macho,Tres Jotas,11,2022,27500,16018.411,0.75219077,0.059732042,0.04492989,2022-05-27,2020-09-28
CHE ARABE,CATCHER IN THE RYE (IRE),SUNDAY'S EDITION (USA),Macho,Los Lirios,140,2019,720000,16017.797,0.7273006,0.042936992,0.031228099,2019-06-06,2017-09-06
LUCKMAN,EQUAL STRIPES,LUCKY MY WAY,Macho,NN Criador,14,2020,30500,16010.165,0.7062782,0.059866983,0.042282745,2020-09-30,2018-07-22
CORTINERO MAN,MANIPULATOR (USA),CORSA LAR,Macho,NN Criador,5,2021,25700,15989.167,0.6224467,0.024384242,0.015177891,2021-05-03,2019-10-14
TEJO LEGS,DADDY LONG LEGS (USA),VICTORY RED,Macho,La Madrina,7,2024,17500,15984.536,0.5258323,0.011075306,0.0058237533,2024-04-08,2022-10-02
RAPOSO,ANGIOLO,ODALITA,Hembra,Rodeo Chico,7,2023,30000,15981.722,0.6198847,0.04377394,0.027134798,2023-03-30,2021-09-23
POKER MOMMY,DADDY LONG LEGS (USA),POKER LADY,Hembra,Abolengo,69,2022,29000,15961.55,0.4278995,0.056596067,0.024217429,2022-03-27,2020-09-18
SEAN HALO,SEBI HALO,ROSEANNE,Macho,El Paraiso,17,2019,720000,15946.844,0.75905234,0.06511666,0.04942695,2019-05-05,2017-08-31
CHICHE HALO,SEBI HALO,MUY IRLANDESA,Macho,El Paraiso,18,2019,720000,15946.844,0.6884675,0.07288869,0.050181493,2019-05-05,2017-08-10
DAVIN,ROMAN RULER (USA),DEAR QUEEN,Macho,Vacacion,5,2018,450000,15940.489,0.7559112,0.08087711,0.06113591,2018-07-31,2016-08-29
CARPERO,DANIEL BOONE (BRZ),CARTOMANCIE,Macho,Santa Maria De Araras,14,2023,30000,15907.599,0.73135936,0.14648171,0.107130766,2023-04-02,2021-07-20
SIRO'S KING,DANIEL BOONE (BRZ),SERATA (USA),Macho,Santa Maria De Araras,11,2023,30000,15907.599,0.6634464,0.15038444,0.09977202,2023-04-02,2021-07-28
THE BANDIDO,HELIOSTATIC (IRE),TRIUMPH OF LOVE,Macho,Santa Maria De Araras,23,2023,30000,15907.599,0.69315815,0.0627474,0.04349387,2023-04-02,2021-10-25
EVADILA,TREASURE BEACH (GB),EVINDIM,Hembra,Abolengo,8,2020,30000,15900.846,0.73577493,0.060427956,0.044461377,2020-07-27,2018-09-03
MUY LEAL,EQUAL STRIPES,MUY APLAUDIDA,Hembra,Abolengo,11,2020,30000,15900.846,0.5563123,0.042406198,0.02359109,2020-07-27,2018-09-17
SOLENE BOONE,DANIEL BOONE (BRZ),SERATA (USA),Macho,Santa Maria De Araras,2,2024,17000,15878.35,0.6310644,0.12765975,0.080561526,2024-04-07,2022-08-20
TWEEDIA,FORTIFY (USA),TWILA,Hembra,Santa Ines,7,2022,34000,15860.308,0.6690625,0.050222047,0.033601686,2022-08-17,2020-08-27
TRIBUTO DE ORO,DANIEL BOONE (BRZ),TRIUMPH OF LOVE,Macho,Santa Maria De Araras,17,2022,27400,15857.839,0.7479793,0.09042321,0.06763469,2022-04-11,2020-10-19
POTRO ESCAPADO,CITYSCAPE (GB),QUEEN NORA (USA),Macho,NN Criador,22,2020,30000,15853.973,0.79427546,0.052442156,0.041653518,2020-09-23,2018-08-06
MISS RUFIAN,SUGGESTIVE BOY,MISS VALENT,Hembra,Pozo De Luna,16,2023,32000,15826.864,0.77855366,0.06290092,0.048971746,2023-06-04,2021-10-23
GIRL POWER,TREASURE BEACH (GB),GIRL SPIRIT,Hembra,Abolengo,9,2022,27000,15792.474,0.676357,0.033247888,0.022487441,2022-05-22,2020-08-18
DIAMOND THIEF,QUE VIDA BUENA,INTENSAMENTE,Macho,Don Florentino,9,2022,4500000,15789.474,0.5155259,0.030514171,0.015730845,2022-09-25,2020-10-09
FUERA DE LA LEY,TOUAREG,TONGUERA,Macho,Don Florentino,19,2022,4500000,15789.474,0.36723322,0.018831097,0.006915404,2022-09-25,2020-10-06
DUBAI NIGHT,ASIATIC BOY,HYDRANT,Hembra,NN Criador,20,2019,16000,15764.591,0.54246503,0.01115225,0.0060497057,2019-03-20,2016-08-27
IMAGEN DEL MUNDO,HI HAPPY,IGARA,Hembra,Vacacion,14,2023,31000,15763.786,0.72612065,0.0902494,0.065531954,2023-06-12,2021-10-18
GARBIÑA,HURRICANE CAT (USA),GINGER IN THE RYE,Hembra,Vacacion,63,2023,30000,15753.509,0.63369775,0.064075135,0.040604267,2023-03-28,2021-07-13
BAMBI'S BEACH,TREASURE BEACH (GB),BAMBI MIA,Hembra,Abolengo,60,2023,30000,15753.509,0.56169647,0.041891675,0.023530407,2023-03-28,2021-07-04
ANGLOSAJON,ANGIOLO,START NOW,Macho,El Paraiso,35,2023,32000,15752.39,0.75043786,0.0410599,0.030812904,2023-04-23,2021-07-31
ESSENCE OF HUMOR,IL CAMPIONE (CHI),BAALTIS,Hembra,El Paraiso,11,2023,6000000,15748.031,0.8661436,0.04987131,0.043195717,2023-03-19,2021-09-20
HOTELABEJA,IL MERCATO,HEART OF MAGIC (USA),Macho,La Pasion,8,2023,33000,15737.909,0.7639521,0.073906414,0.056460958,2023-04-27,2021-08-31
THITON,EQUAL STRIPES,TINTURA DE MIEL,Macho,La Pasion,17,2023,33000,15737.909,0.76000124,0.06254912,0.04753741,2023-04-27,2021-09-13
MAR DEL PLATA,DADDY LONG LEGS (USA),MARDENA (CHI),Hembra,Los Turfistas,14,2024,21000,15736.93,0.33614123,0.051189546,0.017206917,2024-05-26,2022-07-24
MASTER REGIS,MASTERCRAFTSMAN (IRE),QUEEN AND GLORY,Hembra,Firmamento,31,2019,17000,15733.991,0.66314596,0.06827081,0.045273513,2019-09-24,2017-09-14
MASTER NICE,MASTERCRAFTSMAN (IRE),VENICE JANE,Macho,Firmamento,2,2019,17000,15733.991,0.8159707,0.102293566,0.08346856,2019-09-24,2017-07-07
ALMA DINAMITA,TREASURE BEACH (GB),MONCHU,Hembra,Juan Antonio,18,2022,27000,15724.259,0.5325874,0.021721104,0.011568387,2022-05-10,2020-08-12
LEOPOLIS,HURRICANE CAT (USA),GALITZIA,Macho,El Mallin,85,2019,720000,15686.274,0.82454157,0.12408393,0.102312356,2019-05-16,2017-09-15
DONA REJENE,LUCULLAN (USA),DONA BIBI,Hembra,La Leyenda,18,2023,29000,15684.096,0.50808245,0.074436635,0.037819948,2023-04-11,2021-07-18
LEGITIMA LUNA,EQUAL STRIPES,LUNA COSCOINA,Hembra,Abolengo,22,2019,16000,15678.939,0.4749284,0.053838346,0.02556936,2019-04-30,2017-09-22
STRANGER THING,COSMIC TRIGGER,SAMPANIA,Macho,Abolengo,36,2019,16000,15678.939,0.55284727,0.029464036,0.016289111,2019-04-30,2017-10-09
BELLAS PALABRAS,ROMAN RULER (USA),BEST VENDIMIA,Hembra,Vacacion,7,2019,16000,15678.939,0.7703439,0.047936566,0.03692764,2019-04-30,2017-09-29
LA VIOLINISTA,ANGIOLO,ACTUADA,Hembra,Tres Jotas,4,2023,32000,15678.172,0.49593273,0.011979345,0.0059409495,2023-09-11,2021-10-22
REINA RIYONA,SEAHENGE (USA),RAVILLA,Hembra,El Arroyo,17,2023,35000,15651.503,0.45218328,0.020497765,0.009268747,2023-04-25,2021-10-17
GATA CUMBIERA,HURRICANE CAT (USA),QUE CONGA CAT,Hembra,El Arroyo,16,2023,35000,15651.503,0.52544737,0.0263127,0.013825939,2023-04-25,2021-07-27
FUERZATITAN,STORM EMBRUJADO,FONTIENNE,Macho,La Leyenda,79,2022,27000,15650.942,0.7430596,0.083623946,0.062137574,2022-05-12,2020-08-29
ELENA GAL,IL CAMPIONE (CHI),ELKHORN GAL (USA),Hembra,Santa Ines,65,2022,27000,15650.942,0.5741626,0.046079762,0.026457276,2022-05-12,2020-10-19
NANGAR,CATCHER IN THE RYE (IRE),NANGA PARBAT,Macho,Santa Ines,30,2019,16000,15648.835,0.7299535,0.04740388,0.03460263,2019-05-15,2017-08-01
SUPER IN FRONT,SUPER SAVER (USA),STAY IN FRONT (USA),Macho,Firmamento,8,2021,29000,15648.643,0.7264809,0.10482247,0.07615152,2021-10-13,2019-09-01
AZUCAR NEGRO,ANGIOLO,SUGAR TOWN,Macho,El Paraiso,49,2022,27000,15643.163,0.72657394,0.03830895,0.027834283,2022-05-01,2020-09-26
BLACK SILKS,LIZARD ISLAND (USA),ETNIA,Hembra,Abolengo,7,2018,480000,15635.179,0.6213972,0.035072662,0.021794055,2018-08-22,2016-10-06
INFLUENCIADO,TREASURE BEACH (GB),ILDIVA,Macho,Abolengo,21,2019,16000,15617.709,0.6737067,0.045141064,0.030411838,2019-07-31,2017-09-02
IDIOMA LATINO,SEAHENGE (USA),ISIDORA,Macho,Vacacion,6,2022,34000,15605.491,0.55963534,0.08782841,0.049151883,2022-08-07,2020-09-07
SENTOSA,SEEK AGAIN (USA),SANDRINE,Hembra,Carampangue,14,2019,16500,15603.732,0.5072121,0.040377904,0.020480162,2019-08-28,2017-09-24
SUMALITA,SEAHENGE (USA),SUMAILLA,Hembra,Vacacion,19,2022,27000,15581.818,0.5626701,0.058032982,0.032653425,2022-05-19,2020-09-23
FUEGO ETERNO,HURRICANE CAT (USA),FIEREZE,Macho,El Mallin,110,2021,25000,15552.806,0.764855,0.1668494,0.1276156,2021-05-21,2019-07-15
IT'S TREASURE,TREASURE BEACH (GB),IT'S IMPORTANT,Macho,Abolengo,6,2022,34000,15544.174,0.7101725,0.045710932,0.032462645,2022-08-02,2020-08-14
SUPER WENDY,SUPER SAVER (USA),CURTIDA NISTEL,Hembra,Firmamento,25,2021,28800,15540.721,0.7382816,0.06367062,0.04700685,2021-10-13,2019-07-24
GEZAR,EXCHANGE RATE (USA),GAZA MOON,Macho,Santa Ines,6,2018,600000,15535.992,0.67978346,0.040873233,0.027784947,2018-09-20,2016-10-06
KANDANUR,EXCHANGE RATE (USA),KATY ROSE,Macho,Santa Ines,11,2018,600000,15535.992,0.70006514,0.07257027,0.05080392,2018-09-20,2016-08-23
GRAN LOGRO,GALAN DE CINE,CONAGRA,Macho,El Paraiso,64,2021,25000,15524.498,0.7381583,0.027526218,0.020318706,2021-04-24,2019-07-24
LOQUILLO RAFITO,COSMIC TRIGGER,ETERNAL SUN,Macho,Abolengo,2,2021,28000,15509.574,0.64275116,0.03425851,0.022019697,2021-06-27,2019-10-17
AEROPOSTAL,ANGIOLO,SINTONIA FINA,Macho,El Paraiso,19,2023,31500,15506.258,0.847157,0.047650397,0.04036737,2023-04-23,2021-09-16
HONEYBOURNE,ORPEN (USA),TATIBITATI,Hembra,Tres Jotas,10,2021,25000,15500.066,0.34976375,0.023126595,0.008088845,2021-05-16,2019-10-03
PUENTE DE NANTES,ANGIOLO,SALONIKA,Macho,Tres Jotas,8,2021,25000,15500.066,0.75719064,0.093041524,0.07045017,2021-05-16,2019-10-10
COSMIC LOVE,COSMIC TRIGGER,SURPRISE OF LOVE,Hembra,Juan Antonio,26,2022,28000,15477.004,0.54500645,0.008569331,0.0046703406,2022-06-24,2020-10-01
DONNA DAMI,FORGE (GB),DONNA DELIA,Macho,Carampangue,20,2023,30000,15465.398,0.71957284,0.06828955,0.049139306,2023-06-27,2021-08-03
SPINNING MAN,ORPEN (USA),SPINNING BIKE,Macho,Carampangue,13,2023,30000,15465.398,0.655522,0.04336856,0.028429044,2023-06-27,2021-10-05
URUAPAN,SUGGESTIVE BOY,UDAQUIOLA,Macho,Carampangue,10,2023,30000,15465.398,0.6742213,0.113375515,0.076440185,2023-06-27,2021-08-07
SERENGUETI,TRUE CAUSE (USA),LIMA DE VERAS,Macho,Carampangue,9,2023,30000,15465.398,0.838291,0.019439466,0.016295929,2023-06-27,2021-09-27
THE GREAT PARADE,THE GREAT DAY,TERMS PARADE,Macho,Firmamento,16,2024,19500,15441.463,0.6953325,0.13750964,0.095614925,2024-09-25,2022-09-21
SEA MY NAME,SEAHENGE (USA),NATURA SALE,Macho,Don Florentino,26,2022,4400000,15438.597,0.5449607,0.028029714,0.015275092,2022-09-25,2020-11-14
SAGITTARIUS,DANIEL BOONE (BRZ),SAY SARAH,Macho,Santa Maria De Araras,20,2021,23500,15432.24,0.54718125,0.15932867,0.08718166,2021-04-12,2019-09-13
ARAVIANA,ANGIOLO,BRAHMANA,Hembra,El Paraiso,46,2019,696000,15415.282,0.7123936,0.053652816,0.03822192,2019-05-05,2017-10-20
TIME LEADER,COSMIC TRIGGER,TIROLESA (USA),Macho,Abolengo,42,2024,18000,15410.838,0.58609307,0.034820825,0.020408245,2024-03-20,2022-08-24
LOVE LADY,COSMIC TRIGGER,LOVE ME MORE,Hembra,Abolengo,45,2024,18000,15410.838,0.5959841,0.03768811,0.022461515,2024-03-20,2022-08-07
LE PURPLE,LE BLUES,SCRIPT,Macho,El Paraiso,72,2024,18000,15386.538,0.5818615,0.048917063,0.028462956,2024-04-28,2022-09-04
LOANGELO,EQUAL STRIPES,LA IMPARCIAL,Macho,La Pasion,1,2023,30000,15385,0.7805853,0.059854098,0.046721227,2023-06-23,2021-10-24
RESILINCIA HOLIDAY,COSMIC TRIGGER,ILUSTRADORA HOLIDAY,Hembra,Juan Antonio,30,2023,30000,15385,0.5427737,0.026157733,0.01419773,2023-06-23,2021-08-07
TARANTELLE CHECK,SAFETY CHECK (IRE),TARANTELLE,Hembra,Tradicion,13,2024,19000000,15384.615,0.53561497,0.0151529275,0.008116134,2024-09-24,2022-10-05
QUERIDA ELINA,QUE VIDA BUENA,DEAR HELEN,Hembra,Tradicion,11,2024,19000000,15384.615,0.33900845,0.0065007643,0.002203814,2024-09-24,2022-09-12
EMPEÑOSA HIT,HIT IT A BOMB (USA),EMPEÑOSA NISTEL,Hembra,Firmamento,27,2021,28500,15378.838,0.8047315,0.09773067,0.07864694,2021-10-13,2019-07-02
TAKE MY GIRL,JAPAN (USA),TAKEN AWAY (BRZ),Hembra,Santa Maria De Araras,8,2023,29000,15377.345,0.59563816,0.08253223,0.049159344,2023-04-02,2021-10-07
RAYSSA,EQUAL STRIPES,ROMANCERA,Hembra,La Pasion,40,2024,18000,15360.576,0.68272924,0.039418116,0.026911901,2024-04-25,2022-09-25
FOREST GAM,SUPER SAVER (USA),FOREST KAS,Macho,Firmamento,62,2021,25000,15343.55,0.74210066,0.07319563,0.054318525,2021-05-20,2019-07-06
HARDER CANDY,SEÑOR CANDY (USA),MADONNA IS BACK,Macho,San Lorenzo De Areco,8,2023,28500,15342.065,0.40734833,0.018303001,0.0074556973,2023-04-13,2021-10-02
