name,PBRS,PB,PR,PS,highInbreedingPadrillos,inbreedingCoefficient,mother,Momsiblings,uncles,dams_parents_career,lote,padrillo,M,birth_eday,PRS,haras,link,sex
PERISTALTICA,.013863339,.18009283,.78066552,.096156158,"M, SB, EO",.0310387951398297,.18356597,-.05451658,-.0058209263,.067443334,52,INTERPRETE,PEDIFORM (USA),18jul2006,.080716573,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
PERUGIA EMPER,.02650862,.66388851,.83079547,.046512406,SDA,.0281705036332529,-.036521748,-.10238844,-.022171821,-.031533584,53,EMPEROR JONES (USA),PERUGIA,01sep2011,.037541568,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
POLACCA,.017446244,.43946266,.81457913,.047220368,DB,.0335946810879201,-.092952117,-.05451658,.019266263,-.054496221,54,EASING ALONG (USA),PALPITACION,27sep2016,.065468229,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
PORRERA,.016974868,.38440201,.81915247,.052209314,"UM, M",.0347665669105734,-.025217284,-.021486979,-.0095519274,-.076371536,55,EQUAL STRIPES,FORTEZZA,25aug2021,.019494744,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
POTRI JAZZ (USA),.012901477,.23069566,.78444934,.069048256,DB,.0356818148721022,-.0043160059,.13429523,-.053442705,-.067372382,56,SMART STRIKE (CAN),JAZZ TRADITION (USA),13apr2006,.057333678,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
PUSSYCAT DOLL,.018725397,.28617814,.82994205,.07631816,"R, E, SDA",.0408485043253677,.026643399,.089637056,-.043588977,-.013965704,57,MUTAKDDIM (USA),THECATINTHESPAT (USA),02jul2008,.053376485,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
QUEEN ARETHA,.015291075,.31303903,.80405587,.05887888,MYL,.0370082553554312,-.025217284,-.021486979,.038275912,-.067372382,5,IL CAMPIONE (CHI),QUEEN HALO,26jul2019,.041350823,Santa Inés,remates/listado/102,1
QUEEN DARIA,.016401054,.35016954,.81462592,.055656202,"ES, LB, SS",.0358934403931406,-.068220615,-.021486979,.034008838,-.059002876,7,IL CAMPIONE (CHI),QUEEN DORIA,25jul2019,.029548589,Santa Inés,remates/listado/102,1
QUEEN HAYFA,.012629504,.34611678,.81828326,.043105461,"FM, M, SDA",.0319673907787676,-.092952117,-.021486979,-.0095519274,-.10498442,8,EQUAL STRIPES,QUEEN NOOR,17nov2019,.0062721083,Santa Inés,remates/listado/102,1
QUEEN NOOR,.0084600765,.23023114,.80037493,.04442684,"EO, M",.028523124659134,-.036521748,-.050247129,-.054980136,-.067372382,28,SOUTHERN HALO (USA),QUENDOM,26oct2006,.029073913,Santa Inés,remates/listado/102,1
QUEEN SLAM,.025106104,.55856794,.79333478,.054776806,M,.0358346763461201,-.017683472,.0034749918,-.052794207,-.045187637,58,GRAND SLAM (USA),QUEEN WONDER,04sep2007,.049481258,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
