title,eday,year,genre,auctionOrder,haras1,name,padrilloAuction,yeguaAuction,studbook_id,birth_eday,PR,PS,PRS,valueUSDB,pricePerBp
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,4,Santa Maria De Araras,TAURUS SIGN,DANIEL BOONE,TATTOUM,431138,11oct2021,.72572982,.0894337,.064904705,11135.319,1715.6414
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,29,Santa Maria De Araras,MY KINGDOM,DANIEL BOONE,MINERVA,427392,07aug2021,.73363453,.14633521,.10735656,9544.5596,889.05225
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,11,Santa Maria De Araras,SIRO'S KING,DANIEL BOONE,SERATA,426979,28jul2021,.72930253,.21778055,.1588279,15907.599,1001.562
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,1,Santa Maria De Araras,CAPITAN KID,DANIEL BOONE,CARTA PATENTE,427395,12aug2021,.77482879,.16341202,.12661634,21210.131,1675.1495
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,48,Santa Maria De Araras,FUTURIST MIND,DANIEL BOONE,FUNNY FACE,428917,14sep2021,.67560631,.072147578,.04874336,5567.6597,1142.2396
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,10,Santa Maria De Araras,MIA DONNA,DANIEL BOONE,MIA SERENATA,432646,26oct2021,.65505779,.078510441,.051428877,19089.119,3711.7512
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,17,Santa Maria De Araras,HONEST BOY,HELIOSTATIC,HONEY HAPPY,428914,16sep2021,.64921719,.091668516,.059512775,23331.145,3920.3591
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,52,Santa Maria De Araras,FEDERAL FILLY,DANIEL BOONE,FEEL THE BEST,432648,29oct2021,.75617689,.038522273,.029129652,2651.2664,910.16064
Gran Venta Anual De Productos 2021 Haras Avourneen  Resumen,02apr2023,2023,Macho,4,Avourneen,FERVENTO,MANIPULATOR,FOND LOOK,432621,07oct2021,.82207417,.017863899,.01468545,8484.0527,5777.1826
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,23,Santa Maria De Araras,THE BANDIDO,HELIOSTATIC,TRIUMPH OF LOVE,432645,25oct2021,.63823009,.049361076,.031503722,15907.599,5049.4346
