Lote,name,Haras,padrillo,M,link,Start,End
33,NO LO GRITES,OLIVITO,PUERTO ESCONDIDO,RABAL,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
34,SANDINA GIRL,EGALITE DE 9,SANDINO RULER,HADA GIRL,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
35,SIXTIES ROMAN,ESTABLECIMIENTO MARIANA EVA,SIXTIES SONG,REALIDAD ROMANA,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
36,COPO DULCE,OLIVITO,PUERTO ESCONDIDO,SABOR DULCE,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
37,SAME RIOT,ORILLA DEL MONTE,VILLAGE KING,SAME PHILLY,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
38,NO DEBO PLATA,OLIVITO,PUERTO ESCONDIDO,MY SILVER GIRL,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
39,MANATIALES,FERRE,MARANESI,COPYIST,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
40,PORTEZUELO,FERRE,PINBALL WIZARD,PERFUME DE MUJER,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
41,SANDI SAM,EGALITE DE 9,SANDINO RULER,GIRALDA SAM,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
42,MELODIJOUNAGITANA,OLIVITO,PUERTO ESCONDIDO,GUPSY QUEEN,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
43,CLAUDINA RULER,EGALITE DE 9,SANDINO RULER,CLAUDETTE,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
44,ROXELANA,FERRE,MARANESI,MARCCELA,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
45,SANDI TALENT,EGALITE DE 9,SANDINO RULER,RONSIÑA TALENT,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
46,FLOR DE CARDON,FERRE,MARANESI,BASE CULTURAL,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
47,SANDINO REAL,EGALITE DE 9,SANDINO RULER,UNREAL LAND,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
48,COOPTADA,ESTABLECIMIENTO MARIANA EVA,LONG ISLAND SOUND,COOSTENTADA,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
49,SANDI CANYOU,EGALITE DE 9,SANDINO RULER,CANYOUSELLITNOW,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
50,THE POPE,OLIVITO,PUERTO ESCONDIDO,LA VATICANA,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
