rank,TPBRS,PBRS,PB,PR,PS,PRS,inbreedingCoefficient,mother,Momsiblings,uncles,maternalParents,M_age_at_service,M_season_orig,birthRate,birthRateLast3,hadRestYear,M_total_rcs,M_won_rcs,M_cumAEI,M_STK_ran,M_STK_won,M_g1_STK_placed,M_g1_STK_won,MomSib_Sibs_at2y,MomSib_Sibs_raced_at2y,MomSib_wnrs_STK_at2y,Dam_Raced_STK,MSib_StkWnrs_Offs,Dam_Placed_STK,Dam_Total_Rcs,Dam_Mean_T3_BSN,Best_Foal_Bsn,Best_Foal_Raced_Stk,Best_Foal_Placed_Stk,Dam_Sib_Total_G1G2,Dam_Sib_Total_G1G2G3,DamSibs_G1G2_Total,DamSibs_TotalG1G2_Won,foal_wnrs_3yo,num_births,num_services,MomSib_STKRunners_at2y,MSibs_GSTK_Total_runs,MSibs_GSTK_Total_wins,name_clean,padrillo_clean,M_clean,Dam_raced_stk_won_stk,foal_stk_wnrs,offs_ran_over_2yo,blank,blank1,blank2,blank3,blank4,blank5,blank6,foal_stk_rnrs,date_last_service,lote,haras,link,start,end_date
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dreamway,lizard island,rosita sureÑa,,,,,,,,,,,,,15,El Trebol,https://www.fallowremates.com/remates/6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east prussia,il campione,irrobla,,,,,,,,,,,,,36,Juan Antonio y Santa Maria de Araras e Invitados,https://www.fallowremates.com/remates/5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,el cancan,hi happy,la barra brava,,,,,,,,,,,,,19,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,el gibson,uncle chuck,la barbra,,,,,,,,,,,,,25,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,el gran chef,touareg,pure chef,,,,,,,,,,,,,5,Don Florentino - La Valkiria,https://www.fallowremates.com/remates/7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,el mossad,pneumatic,marcia o,,,,,,,,,,,,,11,El Trebol,https://www.fallowremates.com/remates/6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,el romantico,touareg,roman lula,,,,,,,,,,,,,8,Don Florentino - La Valkiria,https://www.fallowremates.com/remates/7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,el santo y seÑa,que vida buena,trinity girl,,,,,,,,,,,,,2,Don Florentino - La Valkiria,https://www.fallowremates.com/remates/7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,el sueÑo del pibe,angiolo,to snow,,,,,,,,,,,,,13,Gran Venta Fallow Areco,https://www.fallowremates.com/remates/4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ellison bay,puerto escondido,ellison bay,,,,,,,,,,,,,41,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elvis tek,luthier blues,powerful wil,,,,,,,,,,,,,22,El Trebol,https://www.fallowremates.com/remates/6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emotion baires,puerto escondido,argentinian roots,,,,,,,,,,,,,51,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enamorada mia,cosmic trigger,erudita girl,,,,,,,,,,,,,4,Juan Antonio y Santa Maria de Araras e Invitados,https://www.fallowremates.com/remates/5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,epicurio,hi happy,express filly,,,,,,,,,,,,,20,Gran Venta Fallow Areco,https://www.fallowremates.com/remates/4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,epoca social,santillano,clase social,,,,,,,,,,,,,16,Juan Antonio y Santa Maria de Araras e Invitados,https://www.fallowremates.com/remates/5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erto,uncle chuck,ersilia,,,,,,,,,,,,,26,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es un clasico,touareg,catch of the day,,,,,,,,,,,,,10,Don Florentino - La Valkiria,https://www.fallowremates.com/remates/7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventual charity,cosmic trigger,eventual champ,,,,,,,,,,,,,3,Juan Antonio y Santa Maria de Araras e Invitados,https://www.fallowremates.com/remates/5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,everest joy,fortify,enjoy love,,,,,,,,,,,,,6,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,farmer boy,hi happy,ferber,,,,,,,,,,,,,17,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ferzan,gouverneur morris,farneta,,,,,,,,,,,,,37,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fiers,que vida buena,sitna,,,,,,,,,,,,,3,Don Florentino - La Valkiria,https://www.fallowremates.com/remates/7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fiscalizado,gouverneur morris,fiesta vasca,,,,,,,,,,,,,35,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flaubert,fortify,poloma,,,,,,,,,,,,,10,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flute magic,daniel boone,flamejante,,,,,,,,,,,,,27,Juan Antonio y Santa Maria de Araras e Invitados,https://www.fallowremates.com/remates/5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fogoso,il campione,chispita holiday,,,,,,,,,,,,,15,Gran Venta Fallow Areco,https://www.fallowremates.com/remates/4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fonetic stripes,seek again,formalidad,,,,,,,,,,,,,6,Juan Antonio y Santa Maria de Araras e Invitados,https://www.fallowremates.com/remates/5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fontal beach,treasure beach,m'encanta,,,,,,,,,,,,,50,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fruity girl,daniel boone,frutta dolce,,,,,,,,,,,,,24,Juan Antonio y Santa Maria de Araras e Invitados,https://www.fallowremates.com/remates/5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,funk girl,pure prize,funk dance,,,,,,,,,,,,,22,Juan Antonio y Santa Maria de Araras e Invitados,https://www.fallowremates.com/remates/5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,futurum,pneumatic,porta fem,,,,,,,,,,,,,7,El Trebol,https://www.fallowremates.com/remates/6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garnacha,daddy long legs,calcolatrice,,,,,,,,,,,,,8,TRES MARÍAS,https://arg-sales.com/remates/view/359,19-06-2025,22-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand in hand,il campione,handprint,,,,,,,,,,,,,14,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hanga roa,daddy long legs,hellas verona,,,,,,,,,,,,,16,POZO DE LUNA,https://arg-sales.com/remates/view/349,19-05-2025,22-05-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harmony star,nicodemus,hennie six,,,,,,,,,,,,,2,El Trebol,https://www.fallowremates.com/remates/6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hojas en blanco,cosmic trigger,de reversa,,,,,,,,,,,,,4,Gran Venta Fallow Areco,https://www.fallowremates.com/remates/4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hornopiren,treasure beach,huetzca,,,,,,,,,,,,,10,POZO DE LUNA,https://arg-sales.com/remates/view/349,19-05-2025,22-05-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huracan de areco,il campione,katrina inc,,,,,,,,,,,,,12,Gran Venta Fallow Areco,https://www.fallowremates.com/remates/4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,idahue,daddy long legs,infiltrada,,,,,,,,,,,,,2,POZO DE LUNA,https://arg-sales.com/remates/view/349,19-05-2025,22-05-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inca soleada,dinamix,inca guerrera,,,,,,,,,,,,,1,Juan Antonio y Santa Maria de Araras e Invitados,https://www.fallowremates.com/remates/5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indicada girl,asiatic boy,intense stripes,,,,,,,,,,,,,3,TRES MARÍAS,https://arg-sales.com/remates/view/359,19-06-2025,22-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indira,true cause,lima de veras,,,,,,,,,,,,,12,TRES MARÍAS,https://arg-sales.com/remates/view/359,19-06-2025,22-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,isa morris,gouverneur morris,ilde,,,,,,,,,,,,,46,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,istmina,nicodemus,inielika,,,,,,,,,,,,,13,El Trebol,https://www.fallowremates.com/remates/6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,its true type,yes it&amp;#039;s true,southern tour,,,,,,,,,,,,,8,Juan Antonio y Santa Maria de Araras e Invitados,https://www.fallowremates.com/remates/5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iznajar,nicodemus,istishaary,,,,,,,,,,,,,4,El Trebol,https://www.fallowremates.com/remates/6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joya porteÑa,puerto escondido,joya gaucha,,,,,,,,,,,,,52,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,judas,gouverneur morris,plage midi,,,,,,,,,,,,,22,Gran Venta Fallow Areco,https://www.fallowremates.com/remates/4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kaloneri,uncle chuck,kathy rose,,,,,,,,,,,,,24,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,karma kiss,daniel boone,kiss laurie,,,,,,,,,,,,,29,Juan Antonio y Santa Maria de Araras e Invitados,https://www.fallowremates.com/remates/5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kenakir,il campione,kentucky rose,,,,,,,,,,,,,15,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keydan,fortify,key of luck,,,,,,,,,,,,,8,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kilauea,nicholas,obona,,,,,,,,,,,,,14,El Trebol,https://www.fallowremates.com/remates/6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kioto,cityscape,la limeÑita,,,,,,,,,,,,,10,TRES MARÍAS,https://arg-sales.com/remates/view/359,19-06-2025,22-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kyprinos,fortify,kambara,,,,,,,,,,,,,4,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kyprios,hi happy,katy rose,,,,,,,,,,,,,16,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la barbarie,que vida buena,barbarisima,,,,,,,,,,,,,12,Don Florentino - La Valkiria,https://www.fallowremates.com/remates/7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la gran artista,seÑor candy,great appeal,,,,,,,,,,,,,28,Don Florentino - La Valkiria,https://www.fallowremates.com/remates/7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la limeÑita,e dubai,lima de veras,,,,,,,,,,,,,1,TRES MARÍAS,https://arg-sales.com/remates/view/359,19-06-2025,22-06-2025
