rank,name,padrillo,M,PRS,PR,PS,Sire_Stk_Wnrs_Rnrs,MomSib_Sibs_at2y,Dam_Mean_T3_BSN,Dam_Raced_STK,Dam_Placed_STK,Dam_Total_Rcs,Best_Foal_Bsn,Best_Foal_Raced_Stk,Best_Foal_Placed_Stk,Dam_Sib_Total_G1G2,DamSibs_G1G2_Total,PRS_Value,ownCharac,father,Fathsiblings,mother,Momsiblings,uncles,maternalParents,inbreedingCoefficient,M_age_at_birth,M_season,MomSib_Sibs_raced_at2y,MomSib_wnrs_STK_at2y,MSib_STK_won_at2y,MSib_mean_cumAEI_at2y,studbook_id,birth_month,offs_stk_rnrs,offs_stk_wnrs,sire_ps,birth_eday,MomSib_wnrs3yo_at2y,FathSib_runshare_3yo,sex,Dam_Won_G1_STK,Dam_Won_STK,FathSibSTKWnrsPerRnr,FathSibSTKWnrsPerOffs,MSib_StkWnrs_Offs,FathSib_STKWinnersLast4Gens,FathSibSTKWnrShL4Gens,lote,haras,link,start,end_date,f_STK_races_total_races,raced_won_g1_yn,cei_per_offs
10,CRY MACHO,NICODEMUS (USA),GRAND ATHENAS,.0059091239,.48002511,.012310031,.045471769,0,,No,No,0,,No,No,0,,1300.0073,.12690854,.037445053,-.020157173,-.069159865,-.13392,.032862753,-.050129723,.0327852719146904,5.7780824,1,0,0,0,0,441880,7,0,0,.01728788,18jul2023,0,0,2,0,0,0,0,0,0,0,17,El Trebol,https://www.fallowremates.com/remates/6,,,,n-n-n,
2,DADDY BOY,DADDY LONG LEGS (USA),CALCOLATRICE,.014608716,.81371921,.017953018,.081081077,3,94.336357,No,No,16,68.356789,No,No,0,0,3213.9175,.043475926,-.040834963,.1271514,-.030513614,-.10628933,.017168786,.011913024,.0364027893392631,9.9753428,5,2,0,0,.037030261,442037,8,0,0,.086316437,11aug2023,0,.67567569,2,0,0,.081081077,.037037037,0,12,.040268455,11,TRES MARÍAS,https://arg-sales.com/remates/view/359,19-06-2025,22-06-2025,.12418301,n-n-n,.061717104
20,DIGUILLIN,TREASURE BEACH (GB),DIOSA AZTECA,.033013299,.75182247,.043911029,.042959426,5,87.214645,No,No,1,100.73405,YES,No,2,.083333336,7262.9258,-.085023403,.030282989,-.061955929,-.081370041,.14645247,.019398972,-.0060006697,.0328380936407484,10.268493,7,4,1,1,.26245633,447421,10,0,0,-.03167294,24oct2023,1,.52028638,2,0,0,.042959426,.024096385,.2,3,.0099337753,7,POZO DE LUNA,https://arg-sales.com/remates/view/349,19-05-2025,22-05-2025,.067471437,n-n-n,1.2597903
15,DREAMWAY,LIZARD ISLAND (USA),ROSITA SUREÑA,.0045465496,.47030452,.0096672466,.040723983,5,41.316368,No,No,1,77.886726,No,No,0,0,1000.2409,-.0064970255,.037445053,.045105353,-.041625805,-.15065613,-.03041072,-.050129723,.0406403869565111,12.063014,7,4,0,0,.020143401,443223,9,0,0,.082550406,12sep2023,0,.3800905,2,0,0,.040723983,.028037382,0,6,.02764977,15,El Trebol,https://www.fallowremates.com/remates/6,,,.051814768,n-n-n,.09668833
47,EL CANCAN,HI HAPPY,LA BARRA BRAVA,.019906707,.61193424,.032530796,.067226894,0,54.293823,No,No,4,,No,No,0,,4379.4756,-.038887322,.24157594,-.016460329,-.047681127,-.17122747,.074698977,-.0062262453,.0431120582361473,7.049315,2,0,0,0,0,445457,9,0,0,.22511561,23sep2023,0,.55462188,2,0,0,.067226894,.026755853,0,8,.030769231,19,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025,.13539192,n-n-n,
83,EL GIBSON,UNCLE CHUCK (USA),LA BARBRA,.011576434,.62679154,.018469352,.045471769,1,103.86105,Yes,Yes,12,,No,No,0,,2546.8154,.01113981,-.044268742,-.1342296,.025699198,-.17122747,.0066353828,-.0062262453,.0276826109438844,6.8849316,2,0,0,0,0,444295,9,0,0,-.17849834,02sep2023,0,0,2,0,0,0,0,0,0,0,25,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025,,y-n-n,0
9,EL GRAN CHEF,TOUAREG,PURE CHEF,.012430904,.55639225,.022341978,0,2,113.50334,YES,YES,27,100.13728,No,No,0,0,2734.7988,.14262384,-.063151799,-.015368305,-.0031839907,.1005142,.041367594,.036261924,.0628472888638498,11.882192,6,1,0,0,.1501604,441532,7,0,0,-.078520104,06jul2023,0,.61290324,2,0,0,0,0,0,0,0,5,Don Florentino - La Valkiria,https://www.fallowremates.com/remates/7,,,.0073529412,y-n-n,1.8019249
20,EL MOSSAD,PNEUMATIC (USA),MARCIA O,.0035564797,.43740264,.0081309061,.045471769,1,,No,No,0,,No,No,0,,782.42554,-.085111022,.037445053,-.020157173,-.069159865,-.13392,.041497268,-.050129723,.0217760846135207,7.178082,3,0,0,0,0,444814,10,0,0,.01728788,15oct2023,0,0,2,0,0,0,0,0,0,0,11,El Trebol,https://www.fallowremates.com/remates/6,,,,n-n-n,0
30,EL ROMANTICO,TOUAREG,ROMAN LULA,.0065748342,.38691035,.016993172,0,5,113.93494,No,No,16,91.476997,No,No,0,0,1446.4635,.016364992,-.063151799,-.015368305,-.0020941049,.098292612,.052503373,-.0045907702,.0307546321564587,12.90411,6,1,0,0,.19496243,442515,8,0,0,-.078520104,28aug2023,0,.61290324,2,0,0,0,0,0,0,0,8,Don Florentino - La Valkiria,https://www.fallowremates.com/remates/7,,,.0073529412,n-n-n,.3119399
5,EL SANTO Y SEÑA,QUE VIDA BUENA,TRINITY GIRL,.015798626,.58333325,.027083363,.019911505,1,87.456062,No,No,9,112.82455,No,No,0,0,3475.6978,.13785934,.10018802,.003004171,-.038060274,.099092223,.059740584,-.0045907702,.0329764140842599,9.936986,5,1,0,0,.47772548,441529,7,0,0,.10319219,08jul2023,0,.28318584,2,0,0,.019911505,.0094637228,0,3,.011152416,2,Don Florentino - La Valkiria,https://www.fallowremates.com/remates/7,,,.038540147,n-n-n,5.7327056
86,EMOTION BAIRES,PUERTO ESCONDIDO,ARGENTINIAN ROOTS (IRE),.011065332,.56715655,.019510191,.025316456,1,,No,No,0,,No,No,0,,2434.373,.10166502,-.011491746,-.18454668,.10640492,-.17122747,-.068169914,-.053878345,.0082259093178436,6.4794521,2,0,0,0,0,442783,7,0,0,-.19603842,26jul2023,0,.4050633,1,0,0,.025316456,.0091743115,0,2,.0094339624,51,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025,.024518389,n-n-n,0
1,EPICURIO,HI HAPPY,EXPRESS FILLY,.026272541,.79975778,.032850623,.067226894,8,94.537148,YES,No,18,96.943222,YES,No,3,.039473683,5779.959,.036031425,.21948788,.068341941,.002949873,.13815776,-.059694219,-.040845662,.0184120807680301,18.99452,10,6,0,0,.12585701,445664,9,0,0,.28782982,07sep2023,1,.55462188,2,0,0,.067226894,.027210884,0,8,.030769231,20,Gran Venta Fallow Areco,https://www.fallowremates.com/remates/4,,,.13539192,y-n-n,1.1956415
98,ERTO,UNCLE CHUCK (USA),ERSILIA,.0082912557,.54407942,.015239054,.045471769,1,,No,No,0,,No,No,0,,1824.0763,-.022211611,-.044268742,-.1342296,-.092008263,-.17122747,.051630966,-.0062262453,.0283128586888779,6.1315069,2,0,0,0,0,445029,9,0,0,-.17849834,16sep2023,0,0,2,0,0,0,0,0,0,0,26,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025,,n-n-n,0
45,ES UN CLASICO,TOUAREG,CATCH OF THE DAY,.0054926719,.44533876,.012333694,0,5,97.302429,Yes,No,13,89.375816,No,No,0,0,1208.3878,-.081306934,-.063151799,-.015368305,-.062840641,.13745913,.0011958666,-.0045907702,.0335132844484178,11.128767,6,4,0,0,.18139781,445090,10,0,0,-.078520104,08oct2023,2,.61290324,2,0,0,0,0,0,0,0,10,Don Florentino - La Valkiria,https://www.fallowremates.com/remates/7,,,.0073529412,y-n-n,.68931168
13,EVEREST JOY,FORTIFY (USA),ENJOY LOVE,.031060878,.6357792,.04885482,.13207547,11,102.93876,YES,YES,4,115.92039,YES,YES,8,.11267605,6833.3931,-.048416257,-.044268742,.22765449,-.064474203,.2934165,-.024716534,-.0062262453,.037986644951161,18.035616,10,7,1,3,.36517912,445456,9,0,0,.18338574,27sep2023,1,.54481131,2,0,1,.13207547,.071794875,.090909094,28,.067632847,6,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025,.14757062,y-y-n,2.3570652
4,FARMER BOY,HI HAPPY,FERBER (USA),.038522165,.7164613,.053767264,.067226894,2,,No,No,0,75.095619,No,No,0,0,8474.876,.056402385,.24157594,-.012554139,.10640492,.052910805,-.068169914,.03462645,.0477419721064507,6.2876711,3,1,0,0,.13304494,443398,8,0,0,.2290218,14aug2023,0,.55462188,2,0,0,.067226894,.028469751,0,8,.030769231,17,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025,.13539192,n-n-n,.93131465
69,FERZAN,GOUVERNEUR MORRIS (USA),FARNETA,.014353636,.60335934,.023789531,.045471769,6,92.979637,No,No,6,95.064522,No,No,0,0,3157.7998,-.034122825,-.044268742,-.11374326,-.064474203,.095146522,-.037344165,.03462645,.0386217056475289,12.00274,7,3,0,0,.15121965,445034,9,0,0,-.158012,21sep2023,0,1,2,0,0,.22222222,.01242236,0,2,.024691358,37,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025,.21052632,n-n-n,.40325239
28,FIERS,QUE VIDA BUENA,SITNA,.00674525,.49481124,.013631966,.019911505,0,75.604546,No,No,13,,No,No,0,,1483.955,.042569637,.10018802,.0028465614,-.054157019,-.12473487,.048806455,-.052242868,.0255222319137829,7.9972601,1,0,0,0,0,442501,8,0,0,.10303458,17aug2023,0,.28318584,2,0,0,.019911505,.0093945721,0,3,.011152416,3,Don Florentino - La Valkiria,https://www.fallowremates.com/remates/7,,,.038540147,n-n-n,
99,FISCALIZADO,GOUVERNEUR MORRIS (USA),FIESTA VASCA,.0082691666,.54754996,.015102123,.045471769,1,,No,No,0,,No,No,0,,1819.2167,.025433242,-.044268742,-.11374326,-.092008263,-.17122747,-.021355242,-.0062262453,.040003012397392,5.1369863,2,0,0,0,0,444004,8,0,0,-.158012,27aug2023,0,1,2,0,0,.22222222,.015625,0,2,.024691358,35,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025,.21052632,n-n-n,0
14,FLAUBERT,FORTIFY (USA),POLOMA (USA),.030801745,.65093905,.047318939,.13207547,6,,No,No,0,113.25397,YES,YES,7,.28,6776.3838,-.11273682,-.044268742,.2231659,.10640492,.20952348,-.068169914,-.0062262453,.0402245909281191,13.709589,10,2,1,3,.77597386,447064,10,0,0,.17889716,24oct2023,1,.54481131,2,0,0,.13207547,.069825433,.16666667,28,.067632847,10,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025,.14757062,n-n-n,3.2332244
33,FLUTE MAGIC,DANIEL BOONE (BRZ),FLAMEJANTE,.022150848,.63737363,.034753319,.052287582,7,103.30993,No,No,13,119.62704,Yes,No,0,0,4873.1865,.12443537,.0044128597,-.027353585,-.049885921,-.0054631829,-.020731878,-.0088265464,.0352761659451062,14.728767,10,5,0,0,.12334459,441764,7,0,0,-.022940725,20jul2023,0,.4509804,1,0,0,.052287582,.025396826,0,2,.0080645159,27,Juan Antonio y Santa Maria de Araras e Invitados,https://www.fallowremates.com/remates/5,,,.079058029,n-n-n,.84579152
4,FOGOSO,IL CAMPIONE (CHI),CHISPITA HOLIDAY,.025301779,.71615189,.035330184,.092537314,4,86.663269,No,No,8,120.05651,YES,YES,7,.10606061,5566.3911,.046007037,-.048569322,.18820204,-.059265554,.17571621,.021309391,.0063814763,.0251691071534879,11.99452,8,4,1,1,.25069788,443237,8,0,0,.13963272,13aug2023,1,.57611942,2,0,0,.092537314,.052100841,.25,27,.054989818,15,Gran Venta Fallow Areco,https://www.fallowremates.com/remates/4,,,.12915677,n-n-n,4.1365151
76,FONTAL BEACH,TREASURE BEACH (GB),M'ENCANTA,.012695347,.64195347,.019776117,.042959426,2,93.269577,No,No,9,,No,No,0,0,2792.9763,.094518304,-.044268742,-.11743413,-.039693836,-.16132905,.0077733546,-.013025649,.0348833856187412,9.8356161,4,2,0,0,.017669989,442773,7,0,0,-.16170287,29jul2023,0,.52028638,1,0,0,.042959426,.026825633,0,3,.0099337753,50,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025,.067471437,n-n-n,.026504984
