rank,M_M_pairs,PBRS,PB,PR,PS,highInbreedingPadrillos,inbreedingCoefficient,mother,Momsiblings,uncles,maternalParents,M_age_at_service,M_season_orig,birthRate,birthRateLast3,hadRestYear,M_total_rcs,M_won_rcs,M_cumAEI,M_STK_ran,M_STK_won,M_g1_STK_placed,M_g1_STK_won,MomSib_Sibs_at2y,MomSib_Sibs_exp_at2y,MomSib_Sibs_raced_at2y,MomSib_wnrs_STK_at2y,MSib_total_rcs_at2y,MSib_wSh_at2y,STK_races_total_races,MSib_STK_won_at2y,MSib_g1_STK_ran_at2y,MSib_g1_STK_won_at2y,MSib_g2_STK_won_at2y,MSib_sum_cumAEI_at2y,MSib_mean_cumAEI_at2y,MomMUnc_Sibs_at2y,MomMUnc_Sibs_raced_at2y,MomMUnc_wnrs_STK_at2y,MMUnc_total_rcs_at2y,MMUnc_wsh,MMUnc_STK_ranSh,MMUnc_g1_STK_ranSh,MMUnc_STK_won_at2y,MMUnc_g1_STK_won_at2y,MMUnc_g2_STK_won_at2y,MMUnc_mean_cumAEI_at2y,MomFUnc_Sibs_at2y,MFUnc_total_rcs_at2y,MFUnc_wsh,MFUnc_STK_ranSh,MFUnc_g1_STK_ranSh,MFUnc_STK_wSh,MFUnc_g1_wSh,MFUnc_mean_cumAEI_at2y,M_M_Races,M_M_Wins,M_M_STK_ran,M_M_cumAEI,Dam_Mean_T3_BSN,Dam_Total_Rcs,Best_Foal_Bsn,Dam_Sib_Total_G1G2,DamSibs_G1G2_Total,Dam_Raced_STK,Dam_Placed_STK,Best_Foal_Raced_Stk,Best_Foal_Placed_Stk,birth_eday,name_clean,padrillo_clean,M_clean,lote,haras,link,start,end_date
501,1,.011702314,.38029289,.71513504,.042585772,,.0436628538445802,-.10450647,-.061788686,-.011691269,-.086335242,10.961644,8,.80000001,1,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,28,.14285715,0,0,0,0,0,.13166456,1336,11665,.12327475,.067295328,.01903129,.0064294897,.0023146165,.21542136,5,0,0,.65365213,53.066689,2,0,0,0,No,No,No,No,02jul2026,palma del rio,catcher in the rye,storm palm,11,Fallow Latinoamericano,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/116,16-04-2025,16-04-2025
359,1,.019355578,.40921435,.80415368,.058346372,,.0369372626476504,-.024181167,-.10395595,.056131352,-.046100531,11.830137,8,1,1,0,9,2,1.9977031,0,0,0,0,4,0,3,0,23,.043478262,0,0,0,0,0,3.638531548902392,.15819703,10,4,1,54,.22222222,.31481481,.14814815,1,1,0,.47890726,971,9051,.11125842,.057120759,.0097226826,.0081758918,.00088388025,.17347462,8,3,4,5.1913114,93.523773,9,94.366005,1,.047619049,No,No,YES,No,02jul2026,panamericana,grand reward,panacea,16,LA GENERACIÓN,https://arg-sales.com/remates/view/356,08-05-2025,11-05-2025
295,1,.022731679,.35052904,.79465717,.081001386,,.034131054209697,-.04829143,-.061788686,.035476442,.14362825,10.8,9,.71428573,.66666669,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,7,5,1,54,.14814815,.12962963,.037037037,1,0,0,.24768001,541,5437,.12304579,.070995033,.013610447,.010483722,.00073569984,.19817306,18,10,15,18.199568,,0,91.777199,0,0,No,No,No,No,02jul2026,peinadora nistel,van nistelrooy,bouclette gulch,29,LA GENERACIÓN,https://arg-sales.com/remates/view/356,08-05-2025,11-05-2025
521,1,,.37207428,.76282358,,,.0304414633142187,-.047857068,-.0097316392,.0024899803,-.1242258,10.928767,6,.75,.66666669,0,14,2,1.1627703,0,0,0,0,2,0,0,0,29,.10344828,0,0,0,0,0,4.368733027018607,.15064597,7,4,1,46,.26086956,.10869565,.065217391,1,0,1,.40146771,1482,8924,.16875841,.085387722,.027454056,.0084043033,.0038099508,.31502017,1,0,0,0,77.360954,14,0,0,0,No,No,No,No,02jul2026,poker girl,equal stripes,poker lady,17,ABOLENGO,https://arg-sales.com/remates/view/347,27-04-2025,30-04-2025
451,1,.015150242,.36569771,.77697504,.052791424,,.0358240685289794,.041158885,-.10580482,-.011691269,-.086335242,13.79726,9,.83333331,1,0,35,4,11.256819,8,0,0,0,4,0,2,0,20,.25,.1,0,1,0,0,7.172262592241168,.35861313,7,5,0,57,.03508772,0,0,0,0,0,.048938077,1336,11632,.12328061,.066798486,.019085282,.0064477306,.002321183,.21506478,2,0,0,0,111.63093,35,77.588989,0,0,YES,Yes,No,No,02jul2026,potra catch,catcher in the rye,potra pura,27,LA GENERACIÓN,https://arg-sales.com/remates/view/356,08-05-2025,11-05-2025
343,1,.020077316,.34314764,.80438691,.072103247,,.0447805985216258,-.041893981,-.02911105,.0060425885,.065766819,7.0602741,1,0,0,0,19,3,2.721678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,13,.23076923,.23076923,.15384616,1,0,0,.68008864,397,3692,.086944744,.033586133,.0081256768,.0013542796,.0010834236,.13778621,16,3,0,3.2754369,92.557549,19,0,0,0,No,No,No,No,02jul2026,princesa aslaug,sixties icon,princess juliana,39,LA GENERACIÓN,https://arg-sales.com/remates/view/356,08-05-2025,11-05-2025
259,1,.024029745,.28207725,.78471202,.10768387,,.042123372356838,-.038415499,.25401339,.059998911,-.057439033,14.99726,12,.60000002,.66666669,0,6,1,.99738663,0,0,0,0,5,0,2,0,99,.16161616,.13131313,5,0,0,0,24.93478585034609,.25186652,6,6,2,66,.34848484,.59090906,.18181819,14,0,4,.91520536,1118,11080,.13953069,.067599282,.020306859,.0067689531,.0024368232,.23039789,4,1,1,1.3399014,91.804359,6,99.858665,0,0,No,No,No,No,02jul2026,pura pura,pure prize,forty purist,8,Fallow Latinoamericano,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/116,16-04-2025,16-04-2025
519,1,,.37126786,.77546376,,,.0156592981560867,.017818667,.19897309,.017621066,.078667469,10.939726,7,.80000001,.66666669,0,3,2,1.1802076,0,0,0,0,3,1,0,0,61,.16393442,.14754099,1,0,0,0,19.26535220816731,.31582543,11,8,1,82,.085365854,.036585364,.012195121,1,0,1,.17768998,812,8165,.16105327,.091365583,.025229638,.0091855479,.0024494794,.26663783,4,3,3,5.4910235,66.55407,3,0,0,0,No,No,No,No,02jul2026,realidad romana,roman ruler,realize,6,Fallow Latinoamericano,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/116,16-04-2025,16-04-2025
88,1,.036221214,.73570818,.78210741,.062487289,,.0330571760346006,-.037130669,-.02911105,.025535215,-.041576069,4.0219178,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,723,4339,.15095644,.14680801,.048859183,.017285088,.0053007607,.34037837,9,3,2,3.4795794,,0,0,0,0,No,No,No,No,02jul2026,reir sin parar,fortify,reina del romance,15,VACACIÓN,https://arg-sales.com/remates/view/348,20-04-2025,23-04-2025
23,2,.047660962,.76113284,.81750202,.076098457,,.0404402105349878,-.038415499,-.061788686,.019322898,.10701422,10.813699,6,1,1,0,12,2,3.1581023,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,11,8,1,122,.12295082,.081967212,.016393442,3,0,0,.2228522,812,8156,.161231,.091466404,.025257479,.0091956845,.0024521824,.26668957,0,0,0,0,89.820786,12,84.351517,0,0,No,No,No,No,02jul2026,rigoletta,roman ruler,royal cup,7,VACACIÓN,https://arg-sales.com/remates/view/348,20-04-2025,23-04-2025
