name,padrillo,M,birth_eday,sex,PR,PS,PRS,Haras,value,valueUSDB,pricePerBp,title,source,auctionOrder,studbook_id,year,date
valeska,manipulator,vecina bella,29sep2019,Hembra,.71802896,.047692645,.034244701,La Pasion,8000,4571.1475,1334.8481,Gran Venta Fallow Estrellas  Resumen,https://www.turfdiario.com/gran-venta-fallow-estrellas-resumen-2/,23,415881,2021,"1 jul, 2021"
blue marlin,lizard island,bathala,29sep2019,Macho,.64135259,.04047703,.025960049,La Pasion,5500,2942.5208,1133.4805,Gran Venta Fallow Jockey  Resumen,https://www.turfdiario.com/gran-venta-fallow-jockey-resumen/,6,415882,2021,"19 oct, 2021"
alanyurt,easing along,afrikana,27sep2019,Macho,.67533338,.056886278,.038417201,La Pasion,15000,8750.1152,2277.6555,Resumen  Venta Seleccion Productos 2019 Haras La Pasion,https://www.turfdiario.com/resumen-venta-seleccion-productos-2019-haras-la-pasion/,6,415883,2021,"28 apr, 2021"
ingenito,bodemeister,ilusora,24sep2019,Macho,.62473339,.086926877,.054306123,La Pasion,30500,17791.902,3276.2239,Resumen  Venta Seleccion Productos 2019 Haras La Pasion,https://www.turfdiario.com/resumen-venta-seleccion-productos-2019-haras-la-pasion/,29,415884,2021,"28 apr, 2021"
cala tande,bodemeister,cilindrada,21sep2019,Hembra,.57519925,.029969173,.017238246,La Pasion,33000,19250.254,11167.177,Resumen  Venta Seleccion Productos 2019 Haras La Pasion,https://www.turfdiario.com/resumen-venta-seleccion-productos-2019-haras-la-pasion/,47,415885,2021,"28 apr, 2021"
romeo si,silentio,de verona spa,09sep2019,Macho,.56837869,.021397533,.012161901,Vadarkblar,2500,1630.9369,1341.0214,Resumen Gran Venta De Productos 2019 Haras Vadarkblar,https://www.turfdiario.com/resumen-gran-venta-de-productos-2019-haras-vadarkblar/,25,415902,2021,"21 apr, 2021"
pretending,flesh for fantasy,pretty little,19sep2019,Macho,.69410133,.016548155,.011486096,San Francisco Chico,3900,2158.4182,1879.1573,Venta Copa Bullrich Junio  Resumen,https://www.turfdiario.com/venta-copa-bullrich-junio-resumen/,50,415903,2021,"25 jun, 2021"
el de zevi,aspire,zevi,10sep2019,Macho,.78292596,.021272922,.016655123,Vadarkblar,6000,3914.2485,2350.177,Resumen Gran Venta De Productos 2019 Haras Vadarkblar,https://www.turfdiario.com/resumen-gran-venta-de-productos-2019-haras-vadarkblar/,2,415907,2021,"21 apr, 2021"
game time,safety check,pegwell park,10sep2019,Macho,.79868037,.055179458,.04407075,Don Yayo,7800,4839.4995,1098.1205,Gran Venta De Productos 2019 Haras Don Yayo Y Haras Vikeda  Resumen,https://www.turfdiario.com/gran-venta-de-productos-2019-haras-don-yayo-y-haras-vikeda-resumen/,4,415936,2021,"23 apr, 2021"
consejero espaÑol,catcher in the rye,cangas de onis,12sep2019,Macho,.6635713,.067403413,.044726972,Vacacion,14500,7860.082,1757.3473,Venta Estrellas Haras Vacacion  Resumen,https://www.turfdiario.com/venta-estrellas-haras-vacacion-resumen/,9,415945,2021,"18 jul, 2021"
abrazo fuerte,in the dark,aneta,14sep2019,Macho,.6824699,.04211295,.028740821,Vacacion,10600,6590.8296,2293.1946,Gran Venta Otono  Haras Vacacion,https://www.turfdiario.com/gran-venta-otono-haras-vacacion/,21,415951,2021,"22 may, 2021"
